ID_BIOGRID;ID_KEGG;INDICE;PATHWAY;LOCALISATION
852004;YDR395W;36;Nucleocytoplasmic transport;['CYTOPLASM', 'NUCLEUS']
851999;tG(CCC)D;37;None;None
852006;YDR397C;38;None;['NUCLEUS']
852007;YDR398W;39;Ribosome biogenesis in eukaryotes;['NUCLEUS', 'NUCLEOLUS']
852008;YDR399W;40;Purine metabolism;['CYTOPLASM']
852009;YDR400W;41;Pyrimidine metabolism;['CYTOPLASM']
852011;YDR402C;42;None;None
852012;YDR403W;43;None;None
852013;YDR404C;44;RNA polymerase;['NUCLEUS']
131118;None;45;None;None
852014;YDR405W;46;Ribosome;['MITOCHONDRIA']
852015;YDR406W;47;ABC transporters;None
852016;YDR407C;48;None;['PUNCTATE COMPOSITE', 'GOLGI']
852017;YDR408C;49;Purine metabolism;['CYTOPLASM']
852018;YDR409W;50;Ubiquitin mediated proteolysis;['NUCLEUS']
852019;YDR410C;51;Terpenoid backbone biosynthesis;['ER']
852020;YDR411C;52;Protein processing in endoplasmic reticulum;None
852021;YDR412W;53;None;None
852023;YDR414C;54;None;None
852024;YDR415C;55;None;None
852025;YDR416W;56;Spliceosome;['NUCLEUS', 'CYTOPLASM']
852026;YDR418W;57;Ribosome;None
852028;YDR419W;58;None;['CYTOPLASM']
852030;YDR420W;59;MAPK signaling pathway - yeast;None
852031;YDR421W;60;None;['CYTOPLASM']
852032;YDR422C;61;None;['CYTOPLASM']
852033;YDR423C;62;None;['CYTOPLASM']
852034;YDR424C;63;Motor proteins;['PUNCTATE COMPOSITE']
852035;YDR425W;64;None;['CYTOPLASM']
852037;YDR427W;65;Proteasome;['CYTOPLASM', 'NUCLEUS', 'PROTEASOME']
852038;YDR428C;66;Tryptophan metabolism;None
852039;YDR429C;67;None;None
852041;YDR430C;68;None;['MITOCHONDRIA']
852042;YDR432W;69;Basal transcription factors;None
852044;YDR434W;70;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;['ER']
852045;YDR435C;71;None;None
852046;YDR436W;72;mRNA surveillance pathway;['CYTOPLASM']
852047;YDR437W;73;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;['ER']
852048;YDR438W;74;None;None
852049;YDR439W;75;Meiosis - yeast;None
852050;YDR440W;76;Lysine degradation;['NUCLEUS', 'CYTOPLASM']
852051;YDR441C;77;Purine metabolism;['CYTOPLASM']
852053;YDR443C;78;None;None
852054;YDR444W;79;None;['CYTOPLASM']
852057;YDR446W;80;None;None
852058;YDR447C;81;Ribosome;None
852059;YDR448W;82;None;['NUCLEUS']
852060;YDR449C;83;Ribosome biogenesis in eukaryotes;['NUCLEUS']
852061;YDR450W;84;Ribosome;['CYTOPLASM']
852062;YDR451C;85;Cell cycle - yeast;['NUCLEUS']
852063;YDR452W;86;None;['CYTOPLASM']
852064;YDR453C;87;None;['CYTOPLASM']
852065;YDR454C;88;Purine metabolism;['CYTOPLASM']
852066;YDR456W;89;None;['PUNCTATE COMPOSITE', 'ENDOSOME']
393313;None;90;None;None
852068;YDR457W;91;Ubiquitin mediated proteolysis;['NUCLEUS']
852069;YDR458C;92;None;['NUCLEAR PERIPHERY']
852070;YDR459C;93;None;None
852071;YDR460W;94;Basal transcription factors;['NUCLEUS']
852072;YDR461W;95;MAPK signaling pathway - yeast;['CYTOPLASM']
852073;YDR462W;96;None;['MITOCHONDRIA']
852074;YDR463W;97;None;None
852075;YDR464W;98;None;['NUCLEUS']
852076;YDR465C;99;None;None
852077;YDR466W;100;MAPK signaling pathway - yeast;None
852079;YDR468C;101;SNARE interactions in vesicular transport;None
852080;YDR469W;102;None;['NUCLEUS']
852081;YDR470C;103;None;None
852082;YDR471W;104;Ribosome;['CYTOPLASM']
852083;YDR472W;105;None;['PUNCTATE COMPOSITE', 'GOLGI']
852084;YDR473C;106;Spliceosome;None
852086;YDR475C;107;None;None
852087;YDR476C;108;None;None
852088;YDR477W;109;Meiosis - yeast;['CYTOPLASM']
852089;YDR478W;110;Ribosome biogenesis in eukaryotes;['NUCLEUS']
852090;YDR479C;111;None;['PUNCTATE COMPOSITE']
852091;YDR480W;112;MAPK signaling pathway - yeast;None
852092;YDR481C;113;Thiamine metabolism;None
852093;YDR482C;114;None;['NUCLEUS']
852094;YDR483W;115;Other types of O-glycan biosynthesis;['PUNCTATE COMPOSITE', 'VACUOLE']
852095;YDR484W;116;None;None
852096;YDR485C;117;ATP-dependent chromatin remodeling;['NUCLEUS']
852097;YDR486C;118;Endocytosis;None
852098;YDR487C;119;Riboflavin metabolism;['CYTOPLASM']
852099;YDR488C;120;Phagosome;None
852100;YDR489W;121;None;None
852101;YDR490C;122;MAPK signaling pathway - yeast;None
852102;YDR492W;123;None;['ER']
852104;YDR493W;124;None;['MITOCHONDRIA']
852105;YDR494W;125;None;None
852106;YDR495C;126;Autophagy - yeast;['PUNCTATE COMPOSITE']
852107;YDR496C;127;None;['NUCLEOLUS', 'NUCLEUS']
852108;YDR497C;128;None;['CELL PERIPHERY', 'VACUOLE', 'PUNCTATE COMPOSITE']
852109;YDR498C;129;SNARE interactions in vesicular transport;['ER']
142;RP11-125A15.2;130;None;None
852110;YDR499W;131;Cell cycle - yeast;['CYTOPLASM', 'NUCLEUS']
852111;YDR500C;132;Ribosome;['CYTOPLASM', 'FOCI']
852112;YDR501W;133;None;None
852113;YDR502C;134;Cysteine and methionine metabolism;['NUCLEUS']
852114;YDR503C;135;Glycerolipid metabolism;None
852116;YDR505C;136;None;None
852117;YDR506C;137;None;None
852115;YDR504C;138;None;None
852119;YDR507C;139;Cell cycle - yeast;['BUD NECK']
852121;YDR508C;140;None;['CELL PERIPHERY']
852122;YDR510W;141;None;['CYTOPLASM']
852123;YDR511W;142;None;['MITOCHONDRIA']
852124;YDR513W;143;None;['NUCLEUS']
852125;YDR512C;144;None;None
852126;YDR514C;145;None;['MITOCHONDRIA']
852127;YDR515W;146;None;['CYTOPLASM']
852128;YDR516C;147;Glycolysis / Gluconeogenesis;['CYTOPLASM']
852129;YDR517W;148;None;['PUNCTATE COMPOSITE', 'CYTOPLASM']
852130;YDR518W;149;Protein processing in endoplasmic reticulum;None
852131;YDR519W;150;None;['E']
852133;YDR520C;151;None;['NUCLEUS', 'CYTOPLASM']
852134;YDR522C;152;None;None
852135;YDR523C;153;Meiosis - yeast;['CYTOPLASM']
852136;YDR524C;154;Endocytosis;['CYTOPLASM']
852138;YDR525W-A;155;None;None
852139;YDR527W;156;None;['CYTOPLASM']
852141;YDR528W;157;None;['CYTOPLASM']
852142;YDR529C;158;Oxidative phosphorylation;['MITOCHONDRIA']
852143;YDR530C;159;Purine metabolism;['CYTOPLASM']
852144;YDR531W;160;Pantothenate and CoA biosynthesis;['CYTOPLASM']
852145;YDR532C;161;None;['SPINDLE POLE']
852146;YDR533C;162;Pyruvate metabolism;None
852147;YDR534C;163;None;None
852149;YDR536W;164;None;None
852150;YDR538W;165;Ubiquinone and other terpenoid-quinone biosynthesis;['MITOCHONDRIA']
852152;YDR539W;166;Biosynthesis of secondary metabolites;['CYTOPLASM']
852153;YDR540C;167;None;['CYTOPLASM']
852154;YDR541C;168;None;None
852155;YDR542W;169;None;None
852158;YDR545W;170;None;None
852159;YBL113C;171;None;None
852160;YBL112C;172;None;None
852161;YBL111C;173;None;None
852167;YBL107C;174;None;['CYTOPLASM']
852168;YBL106C;175;None;None
852169;YBL105C;176;MAPK signaling pathway - yeast;None
852170;YBL104C;177;None;['CYTOPLASM']
852171;YBL103C;178;None;['CYTOPLASM', 'NUCLEUS']
852172;YBL102W;179;None;['PUNCTATE COMPOSITE', 'GOLGI']
852173;YBL101C;180;None;None
852174;YBL100W-A;181;None;None
852176;tF(GAA)B;182;None;None
852177;YBL099W;183;Oxidative phosphorylation;['MITOCHONDRIA']
852179;YBL098W;184;Tryptophan metabolism;['MITOCHONDRIA']
852180;YBL097W;185;Cell cycle - yeast;['NUCLEUS']
852181;YBL095W;186;None;['MITOCHONDRIA']
215;None;187;None;None
852184;YBL093C;188;None;['NUCLEUS']
852185;YBL092W;189;Ribosome;None
852186;YBL091C-A;190;None;None
852187;YBL091C;191;None;['CYTOPLASM']
852188;YBL090W;192;None;['MITOCHONDRIA']
852189;YBL089W;193;None;None
852190;YBL088C;194;Homologous recombination;None
852191;YBL087C;195;Ribosome;['NUCLEUS']
852192;YBL086C;196;None;['CELL PERIPHERY']
852193;YBL085W;197;None;None
852194;YBL084C;198;Cell cycle - yeast;['CYTOPLASM']
225;None;199;None;None
852196;YBL082C;200;N-Glycan biosynthesis;['NUCLEUS']
852197;YBL081W;201;None;None
852198;YBL080C;202;Aminoacyl-tRNA biosynthesis;['MITOCHONDRIA']
852199;YBL079W;203;Nucleocytoplasmic transport;['NUCLEAR PERIPHERY']
852200;YBL078C;204;Autophagy - other;None
852202;YBL076C;205;Aminoacyl-tRNA biosynthesis;['CYTOPLASM']
852203;YBL075C;206;Spliceosome;['CYTOPLASM']
852205;YBL074C;207;None;['CYTOPLASM']
852206;YBL072C;208;Ribosome;['CYTOPLASM']
852207;YBL071W-A;209;None;['CYTOPLASM', 'NUCLEUS']
852209;YBL069W;210;None;['CYTOPLASM']
852211;YBL068W;211;Pentose phosphate pathway;['CYTOPLASM']
852212;YBL067C;212;None;None
852214;YBL066C;213;None;None
852215;YBL064C;214;Glutathione metabolism;['MITOCHONDRIA']
852216;YBL063W;215;Motor proteins;['MICROTUBULE']
852218;YBL061C;216;None;['BUD NECK', 'CYTOPLASM']
852219;YBL060W;217;None;['BUD NECK', 'CYTOPLASM']
852220;YBL059C-A;218;None;['CYTOPLASM']
852221;YBL059W;219;None;['MITOCHONDRIA']
852222;YBL058W;220;Protein processing in endoplasmic reticulum;['CYTOPLASM', 'NUCLEUS']
852223;YBL057C;221;None;['MITOCHONDRIA']
852224;YBL056W;222;None;['CYTOPLASM']
852225;YBL055C;223;None;['CYTOPLASM']
852226;YBL054W;224;None;['CYTOPLASM', 'NUCLEUS']
852228;YBL052C;225;None;['NUCLEUS', 'CYTOPLASM']
852229;YBL051C;226;None;['CYTOPLASM']
852230;YBL050W;227;Autophagy - yeast;None
852231;YBL049W;228;None;None
852233;YBL047C;229;Endocytosis;None
852234;YBL046W;230;None;['NUCLEUS']
852235;YBL045C;231;Oxidative phosphorylation;['MITOCHONDRIA']
852236;YBL044W;232;None;None
852237;YBL043W;233;None;None
852238;YBL042C;234;None;['BUD NECK']
852239;YBL041W;235;Proteasome;None
852240;YBL040C;236;None;None
852241;YBL039C;237;Pyrimidine metabolism;['CYTOPLASM']
852242;YBL038W;238;None;None
852243;YBL037W;239;Endocytosis;['CELL PERIPHERY']
852244;YBL036C;240;None;['CYTOPLASM']
852245;YBL035C;241;DNA replication;['NUCLEUS']
852246;YBL034C;242;None;['CYTOPLASM']
852247;YBL033C;243;Riboflavin metabolism;['CYTOPLASM']
852248;YBL032W;244;None;['CYTOPLASM']
852249;YBL031W;245;None;['MICROTUBULE']
852250;YBL030C;246;None;None
852251;YBL029C-A;247;None;None
852252;YBL029W;248;None;['CYTOPLASM']
852253;YBL028C;249;None;['NUCLEUS']
852254;YBL027W;250;Ribosome;['CYTOPLASM']
852255;YBL026W;251;RNA degradation;['CYTOPLASM', 'FOCI']
852256;YBL025W;252;None;['NUCLEOLUS']
852257;YBL024W;253;None;['NUCLEUS']
852258;YBL023C;254;DNA replication;['NUCLEUS', 'CYTOPLASM']
852259;YBL022C;255;None;['MITOCHONDRIA']
852260;YBL021C;256;None;['NUCLEUS']
852261;YBL020W;257;None;None
852262;YBL019W;258;None;['CYTOPLASM']
852263;YBL018C;259;Ribosome biogenesis in eukaryotes;['NUCLEUS']
852264;YBL017C;260;None;['PUNCTATE COMPOSITE', 'ENDOSOME']
852265;YBL016W;261;MAPK signaling pathway - yeast;['CYTOPLASM', 'NUCLEUS']
852266;YBL015W;262;Pyruvate metabolism;['MITOCHONDRIA']
852268;tG(GCC)B;263;None;None
852269;YBL014C;264;None;['NUCLEOLUS', 'CYTOPLASM']
852270;YBL013W;265;One carbon pool by folate;['MITOCHONDRIA']
852271;YBL011W;266;Glycerolipid metabolism;None
852273;YBL010C;267;None;None
852274;YBL009W;268;None;None
852275;YBL008W;269;None;['CYTOPLASM']
852276;YBL007C;270;None;['CELL PERIPHERY', 'PUNCTATE COMPOSITE', 'ACTIN']
852277;YBL006C;271;None;None
852278;YBL005W;272;None;None
852279;YBL005W-A;273;None;None
852280;YBL005W-B;274;None;None
852282;YBL004W;275;None;['NUCLEUS']
852283;YBL003C;276;ATP-dependent chromatin remodeling;['NUCLEUS']
852284;YBL002W;277;None;['NUCLEUS']
852285;YBL001C;278;None;['CYTOPLASM']
852286;YBR001C;279;Starch and sucrose metabolism;['CYTOPLASM']
852287;YBR002C;280;Terpenoid backbone biosynthesis;None
852288;YBR003W;281;Terpenoid backbone biosynthesis;None
852289;YBR004C;282;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;None
852290;YBR005W;283;None;['ER']
852291;YBR006W;284;Alanine, aspartate and glutamate metabolism;['CYTOPLASM']
852292;YBR007C;285;None;['CYTOPLASM']
852293;YBR008C;286;None;None
852294;YBR009C;287;None;['NUCLEUS']
852295;YBR010W;288;None;['NUCLEUS']
852296;YBR011C;289;Oxidative phosphorylation;['CYTOPLASM']
852298;YBR012W-A;290;None;None
852299;YBR012W-B;291;None;None
852300;YBR013C;292;None;None
852301;tT(AGU)B;293;None;None
852302;YBR014C;294;None;['CYTOPLASM']
852303;YBR015C;295;Various types of N-glycan biosynthesis;['PUNCTATE COMPOSITE']
852304;YBR016W;296;None;None
852305;YBR017C;297;Nucleocytoplasmic transport;['NUCLEUS']
852306;YBR018C;298;Galactose metabolism;None
852307;YBR019C;299;Glycolysis / Gluconeogenesis;None
852308;YBR020W;300;Galactose metabolism;None
852309;YBR021W;301;None;None
852310;YBR022W;302;None;None
852311;YBR023C;303;Amino sugar and nucleotide sugar metabolism;['PUNCTATE COMPOSITE', 'GOLGI']
852312;YBR024W;304;None;None
852313;YBR025C;305;None;['CYTOPLASM']
852314;YBR026C;306;Fatty acid biosynthesis;['MITOCHONDRIA']
338;None;307;None;None
852316;YBR028C;308;None;['CYTOPLASM']
852317;YBR029C;309;Glycerophospholipid metabolism;None
852318;YBR030W;310;None;['NUCLEUS']
852319;YBR031W;311;Ribosome;['CYTOPLASM']
852321;YBR033W;312;None;None
852322;YBR034C;313;None;['CYTOPLASM', 'NUCLEUS']
852323;YBR035C;314;Vitamin B6 metabolism;None
852324;YBR036C;315;None;None
852325;YBR037C;316;None;['MITOCHONDRIA']
852326;YBR038W;317;Amino sugar and nucleotide sugar metabolism;None
852327;YBR039W;318;Oxidative phosphorylation;['MITOCHONDRIA']
852328;YBR040W;319;None;None
852329;YBR041W;320;None;None
852330;YBR042C;321;None;None
852331;YBR043C;322;None;None
852332;YBR044C;323;RNA degradation;None
852333;tV(UAC)B;324;None;None
852334;YBR045C;325;Meiosis - yeast;None
852335;YBR046C;326;None;['CYTOPLASM']
852336;YBR047W;327;None;['MITOCHONDRIA']
852337;YBR048W;328;Ribosome;['CYTOPLASM']
852338;YBR049C;329;None;['NUCLEUS']
852340;YBR050C;330;None;None
852341;YBR052C;331;Ubiquinone and other terpenoid-quinone biosynthesis;['CELL PERIPHERY']
852342;YBR053C;332;None;None
375;None;333;None;None
852343;YBR054W;334;None;['CELL PERIPHERY']
852344;YBR055C;335;Spliceosome;['NUCLEUS']
852346;YBR056W;336;None;['CYTOPLASM']
852347;tQ(UUG)B;337;None;None
852348;YBR057C;338;None;['CYTOPLASM']
852349;YBR058C;339;None;['CYTOPLASM', 'NUCLEUS']
852350;YBR058C-A;340;None;['ER']
852351;YBR059C;341;None;['BUD NECK', 'CELL PERIPHERY']
852352;YBR060C;342;Cell cycle - yeast;['CYTOPLASM']
852353;YBR061C;343;None;['CYTOPLASM']
852354;YBR062C;344;None;None
387;None;345;None;None
382;None;346;None;None
852357;YBR065C;347;Spliceosome;['NUCLEUS']
852358;YBR066C;348;None;['CYTOPLASM']
852359;YBR067C;349;None;['ER']
852360;YBR068C;350;None;['CELL PERIPHERY']
852361;YBR069C;351;None;['BUD TIP']
852362;YBR070C;352;N-Glycan biosynthesis;None
852356;YBR063C;353;None;None
852364;YBR072W;354;Protein processing in endoplasmic reticulum;['CYTOPLASM', 'PUNCTATE COMPOSITE']
852365;YBR073W;355;Homologous recombination;['NUCLEUS']
852366;YBR074W;356;None;None
852363;YBR071W;357;None;['CYTOPLASM']
852368;YBR076W;358;None;None
852369;YBR077C;359;None;None
852370;YBR078W;360;None;None
852371;YBR079C;361;None;['CYTOPLASM']
852372;YBR080C;362;Autophagy - yeast;['PUNCTATE COMPOSITE', 'GOLGI']
852373;YBR081C;363;None;['NUCLEUS']
852374;tR(UCU)B;364;None;None
852375;tD(GUC)B;365;None;None
852376;YBR082C;366;Polycomb repressive complex;['CYTOPLASM']
852377;YBR083W;367;MAPK signaling pathway - yeast;['NUCLEUS']
852378;YBR084W;368;One carbon pool by folate;['MITOCHONDRIA']
852379;YBR084C-A;369;Ribosome;['CYTOPLASM']
852380;YBR085W;370;None;['MITOCHONDRIA']
852381;YBR085C-A;371;None;['CYTOPLASM']
852382;YBR086C;372;None;['CELL PERIPHERY']
852383;YBR087W;373;DNA replication;['NUCLEUS']
852385;YBR088C;374;DNA replication;['NUCLEUS']
852386;YBR089C-A;375;None;['NUCLEUS']
852387;YBR090C;376;None;None
852388;YBR091C;377;None;None
852389;YBR092C;378;Thiamine metabolism;['CYTOPLASM']
852390;YBR093C;379;Thiamine metabolism;['CYTOPLASM']
852391;YBR094W;380;None;['CYTOPLASM']
852392;YBR095C;381;None;['NUCLEUS']
852393;YBR096W;382;None;['CYTOPLASM']
852394;YBR097W;383;Autophagy - other;['PUNCTATE COMPOSITE', 'ENDOSOME']
852395;YBR098W;384;Homologous recombination;None
852397;YBR101C;385;Protein processing in endoplasmic reticulum;['CYTOPLASM']
852398;YBR102C;386;None;['CELL PERIPHERY', 'BUD NECK', 'BUD']
852399;YBR103W;387;None;['NUCLEUS']
852401;YBR104W;388;None;['MITOCHONDRIA']
852402;YBR105C;389;None;['NUCLEUS', 'CYTOPLASM']
852403;YBR106W;390;Protein export;['ER']
852404;YBR107C;391;None;['NUCLEOLUS', 'SPINDLE POLE']
852405;YBR108W;392;None;None
852406;YBR109C;393;Phosphatidylinositol signaling system;None
852407;YBR110W;394;N-Glycan biosynthesis;['ER']
852408;YBR111C;395;Purine metabolism;None
3637683;None;396;None;None
852410;YBR112C;397;MAPK signaling pathway - yeast;['NUCLEUS']
852411;YBR114W;398;None;['CYTOPLASM']
852412;YBR115C;399;Lysine biosynthesis;['CYTOPLASM']
852414;YBR117C;400;Pentose phosphate pathway;None
852415;YBR118W;401;Nucleocytoplasmic transport;['CYTOPLASM']
852416;YBR119W;402;None;['NUCLEUS']
852417;YBR120C;403;None;['MITOCHONDRIA']
852418;YBR121C;404;Aminoacyl-tRNA biosynthesis;['CYTOPLASM']
852419;YBR122C;405;None;['MITOCHONDRIA']
852421;YBR123C;406;None;['CYTOPLASM', 'NUCLEUS']
852422;YBR125C;407;None;['CYTOPLASM']
852423;YBR126C;408;Starch and sucrose metabolism;['CYTOPLASM']
852424;YBR127C;409;Oxidative phosphorylation;['VACUOLAR MEMBRANE']
852425;YBR128C;410;Autophagy - yeast;None
852426;YBR129C;411;None;['CYTOPLASM']
852427;YBR130C;412;None;['CYTOPLASM', 'BUD TIP']
852428;YBR131W;413;Autophagy - yeast;None
852429;YBR132C;414;None;['ER']
852431;YBR133C;415;MAPK signaling pathway - yeast;['CYTOPLASM']
852432;YBR135W;416;Cell cycle - yeast;['CYTOPLASM', 'NUCLEUS']
852433;YBR136W;417;Cell cycle - yeast;None
852434;YBR137W;418;None;['CYTOPLASM']
852435;YBR138C;419;None;['CYTOPLASM']
852436;YBR139W;420;None;['CYTOPLASM', 'NUCLEUS']
852437;YBR140C;421;None;None
852438;YBR141C;422;None;None
852439;YBR142W;423;None;['NUCLEUS', 'NUCLEOLUS']
852440;YBR143C;424;mRNA surveillance pathway;['CYTOPLASM']
472;None;425;None;None
852442;YBR145W;426;Glycolysis / Gluconeogenesis;['CYTOPLASM']
852443;YBR146W;427;Ribosome;None
852444;YBR147W;428;Efferocytosis;None
852445;YBR148W;429;None;None
852446;YBR149W;430;Ascorbate and aldarate metabolism;None
852447;YBR150C;431;None;['CYTOPLASM', 'NUCLEUS']
852448;YBR151W;432;None;['CYTOPLASM']
852449;YBR152W;433;None;['NUCLEUS']
852450;YBR153W;434;Riboflavin metabolism;None
852451;YBR154C;435;RNA polymerase;None
852452;YBR155W;436;None;['CYTOPLASM']
852453;YBR156C;437;None;['CYTOPLASM']
852454;YBR157C;438;None;None
852455;YBR158W;439;None;['CYTOPLASM']
852456;YBR159W;440;Fatty acid elongation;['ER']
852457;YBR160W;441;MAPK signaling pathway - yeast;['NUCLEUS', 'CYTOPLASM']
852458;YBR161W;442;None;['CYTOPLASM']
852459;YBR162C;443;None;['MITOCHONDRIA']
852460;YBR162W-A;444;None;['ER']
852461;YBR163W;445;None;['MITOCHONDRIA']
852462;YBR164C;446;None;['PUNCTATE COMPOSITE', 'GOLGI']
852463;YBR165W;447;None;None
852464;YBR166C;448;Phenylalanine, tyrosine and tryptophan biosynthesis;['CYTOPLASM']
852465;YBR167C;449;Ribosome biogenesis in eukaryotes;['NUCLEUS']
852466;YBR168W;450;None;['PUNCTATE COMPOSITE']
852467;YBR169C;451;Protein processing in endoplasmic reticulum;None
852468;YBR170C;452;Protein processing in endoplasmic reticulum;['NUCLEUS', 'CYTOPLASM']
852469;YBR171W;453;None;['ER']
852470;YBR172C;454;None;['CYTOPLASM']
852471;YBR173C;455;Proteasome;['NUCLEUS']
852472;YBR175W;456;Polycomb repressive complex;['NUCLEUS', 'CYTOPLASM']
852474;YBR176W;457;Pantothenate and CoA biosynthesis;['MITOCHONDRIA']
852476;YBR177C;458;None;['LIPID PARTICLE', 'ER', 'CYTOPLASM']
852477;YBR179C;459;None;['MITOCHONDRIA']
852478;YBR180W;460;None;None
852479;YBR181C;461;Ribosome;['CYTOPLASM']
852480;YBR182C;462;MAPK signaling pathway - yeast;None
852481;YBR183W;463;Sphingolipid metabolism;None
852482;YBR184W;464;None;None
852483;YBR185C;465;None;['MITOCHONDRIA']
852484;YBR186W;466;None;None
852485;YBR187W;467;None;None
852486;YBR188C;468;None;['NUCLEUS']
852487;YBR189W;469;Ribosome;['CYTOPLASM']
852489;YBR191W;470;Ribosome;['CYTOPLASM']
852491;YBR192W;471;None;None
852492;YBR193C;472;None;None
852493;YBR194W;473;None;None
852494;YBR195C;474;ATP-dependent chromatin remodeling;['NUCLEUS']
852495;YBR196C;475;Glycolysis / Gluconeogenesis;None
852496;YBR197C;476;None;['CYTOPLASM']
852497;YBR198C;477;Basal transcription factors;['CYTOPLASM']
852498;YBR199W;478;None;None
852499;YBR200W;479;MAPK signaling pathway - yeast;['BUD NECK', 'CYTOPLASM']
852500;YBR201W;480;Protein processing in endoplasmic reticulum;None
852501;YBR202W;481;DNA replication;['NUCLEUS', 'CYTOPLASM']
852502;YBR203W;482;None;None
852503;YBR204C;483;None;None
852504;YBR205W;484;Other types of O-glycan biosynthesis;['PUNCTATE COMPOSITE']
852506;YBR207W;485;None;['VACUOLAR MEMBRANE']
852507;YBR208C;486;Arginine biosynthesis;['CYTOPLASM']
852509;tC(GCA)B;487;None;None
852510;tE(UUC)B;488;None;None
852511;YBR210W;489;None;None
852512;YBR211C;490;None;['SPINDLE POLE']
852513;YBR212W;491;None;['CYTOPLASM']
546;RP5-875J14.1;492;None;None
852514;YBR213W;493;Porphyrin metabolism;None
852515;YBR214W;494;None;['CYTOPLASM']
852516;YBR215W;495;None;None
852517;YBR216C;496;None;['CYTOPLASM']
852518;YBR217W;497;Autophagy - other;None
852519;YBR218C;498;Citrate cycle (TCA cycle);['CYTOPLASM']
852520;YBR219C;499;None;None
852522;YBR221C;500;Glycolysis / Gluconeogenesis;['MITOCHONDRIA']
852523;YBR222C;501;Glyoxylate and dicarboxylate metabolism;['CYTOPLASM']
852521;YBR220C;502;None;None
852525;YBR223C;503;Base excision repair;['CYTOPLASM']
852526;YBR225W;504;None;['CYTOPLASM']
852528;YBR227C;505;None;['MITOCHONDRIA']
852529;YBR228W;506;None;None
852530;YBR229C;507;N-Glycan biosynthesis;None
852531;YBR230C;508;None;['MITOCHONDRIA']
852532;YBR231C;509;None;['NUCLEUS']
852533;YBR233W;510;None;['CYTOPLASM']
852535;YBR233W-A;511;None;['SPINDLE POLE']
852536;YBR234C;512;Autophagy - yeast;['PUNCTATE COMPOSITE']
852537;YBR235W;513;None;None
852538;YBR236C;514;mRNA surveillance pathway;['NUCLEUS']
852539;YBR237W;515;Spliceosome;['NUCLEUS']
852540;YBR238C;516;None;['MITOCHONDRIA', 'CYTOPLASM']
852541;YBR239C;517;None;['CYTOPLASM', 'NUCLEUS']
852542;YBR240C;518;None;None
852543;YBR241C;519;None;['VACUOLAR MEMBRANE']
852544;YBR242W;520;Purine metabolism;None
852545;YBR243C;521;N-Glycan biosynthesis;None
852546;YBR244W;522;None;['CYTOPLASM']
852547;YBR245C;523;ATP-dependent chromatin remodeling;['NUCLEUS']
852548;YBR246W;524;None;None
581;None;525;None;None
852549;YBR247C;526;None;['NUCLEOLUS', 'NUCLEUS']
852550;YBR248C;527;Histidine metabolism;['CYTOPLASM']
852551;YBR249C;528;Phenylalanine, tyrosine and tryptophan biosynthesis;['NUCLEUS', 'CYTOPLASM']
852553;YBR251W;529;Ribosome;['MITOCHONDRIA']
852554;YBR252W;530;Pyrimidine metabolism;['CYTOPLASM']
852555;YBR253W;531;None;['NUCLEUS']
852556;YBR254C;532;None;['PUNCTATE COMPOSITE', 'GOLGI']
852557;YBR255W;533;None;['CYTOPLASM']
