Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_001133.9	128252	129019	I	minus	syntaxin	SYN8	851219	protein-coding	NM_001178159.1	NP_009388.2	255	YAL014C
NC_001133.9	129270	130487	I	plus	Rpd3L histone deacetylase complex subunit DEP1	DEP1	851220	protein-coding	NM_001178158.2	NP_009389.3	405	YAL013W
NC_001133.9	130799	131983	I	plus	cystathionine gamma-lyase CYS3	CYS3	851221	protein-coding	NM_001178157.1	NP_009390.1	394	YAL012W
NC_001133.9	132199	134076	I	plus	Swc3p	SWC3	851222	protein-coding	NM_001178156.1	NP_009391.2	625	YAL011W
NC_001133.9	134184	135665	I	minus	Mdm10p	MDM10	851223	protein-coding	NM_001178155.2	NP_009392.2	493	YAL010C
NC_001133.9	135854	136633	I	plus	Nem1-Spo7 phosphatase regulatory subunit SPO7	SPO7	851224	protein-coding	NM_001178154.1	NP_009393.1	259	YAL009W
NC_001133.9	136914	137510	I	plus	Fun14p	FUN14	851225	protein-coding	NM_001178153.1	NP_009394.1	198	YAL008W
NC_001133.9	137698	138345	I	minus	Erp2p	ERP2	851226	protein-coding	NM_001178152.1	NP_009395.1	215	YAL007C
NC_001133.9	139152	139254	I	plus	tRNA-Pro	TRN1	851227	tRNA				YNCA0002W
NC_001133.9	139503	141431	I	minus	Hsp70 family ATPase SSA1	SSA1	851259	protein-coding	NM_001178151.1	NP_009396.2	642	YAL005C
NC_001133.9	142174	143160	I	plus	translation elongation factor 1 subunit beta	EFB1	851260	protein-coding	NM_001178150.1	NP_009398.1	206	YAL003W
NC_001133.9	142367	142468	I	plus	SNR18	SNR18	9164867	snoRNA	NR_132150.1			YNCA0003W
NC_001133.9	143707	147531	I	plus	CORVET complex membrane-binding subunit VPS8	VPS8	851261	protein-coding	NM_001178149.1	NP_009399.2	1274	YAL002W
NC_001133.9	147594	151166	I	minus	transcription factor TFIIIC subunit TFC3	TFC3	851262	protein-coding	NM_001178148.1	NP_009400.1	1160	YAL001C
NC_001133.9	152257	153876	I	plus	FG-nucleoporin NUP60	NUP60	851263	protein-coding	NM_001178209.1	NP_009401.1	539	YAR002W
NC_001133.9	154065	154724	I	minus	Erp1p	ERP1	851264	protein-coding	NM_001180033.1	NP_009402.1	219	YAR002C-A
NC_001133.9	155005	156285	I	plus	COMPASS subunit protein SWD1	SWD1	851265	protein-coding	NM_001178210.1	NP_009403.1	426	YAR003W
NC_001133.9	156754	158619	I	minus	replication factor A subunit protein RFA1	RFA1	851266	protein-coding	NM_001178211.1	NP_009404.1	621	YAR007C
NC_001133.9	158966	159793	I	plus	tRNA splicing endonuclease subunit SEN34	SEN34	851267	protein-coding	NM_001178212.1	NP_009405.1	275	YAR008W
NC_001133.9	160597	164187	I	minus	truncated gag-pol fusion protein		851268	protein-coding	NM_001178213.1	NP_009406.1	1196	YAR009C
NC_001133.9	164544	165866	I	minus	gag protein		851269	protein-coding	NM_001178214.1	NP_009407.1	440	YAR010C
NC_001133.9	166267	166339	I	plus	tRNA-Ala	TGA1	851270	tRNA				YNCA0004W
NC_001133.9	166742	168871	I	minus	protein phosphatase regulator BUD14	BUD14	851271	protein-coding	NM_001178215.2	NP_009408.3	709	YAR014C
NC_001133.9	169375	170295	I	plus	phosphoribosylaminoimidazolesuccinocarboxamide synthase	ADE1	851272	protein-coding	NM_001178216.1	NP_009409.1	306	YAR015W
NC_001133.9	170396	171703	I	minus	serine/threonine protein kinase KIN3	KIN3	851273	protein-coding	NM_001178217.1	NP_009410.1	435	YAR018C
NC_001133.9	172211	175135	I	minus	serine/threonine protein kinase CDC15	CDC15	851274	protein-coding	NM_001178218.2	NP_009411.2	974	YAR019C
NC_001133.9	176856	177023	I	minus	seripauperin PAU7	PAU7	851275	protein-coding	NM_001178219.1	NP_009412.1	55	YAR020C
NC_001133.9	179281	179820	I	minus	DUP240 family protein	DFP1	851276	protein-coding	NM_001178220.2	NP_009413.2	179	YAR023C
NC_001133.9	181141	181254	I	plus	tRNA-Leu	SUP56	851277	tRNA				YNCA0005W
NC_001133.9	182522	182603	I	minus	tRNA-Ser		851278	tRNA				YNCA0006C
NC_001133.9	183770	184477	I	plus	DUP240 family protein UIP3	UIP3	851279	protein-coding	NM_001178221.1	NP_009414.1	235	YAR027W
NC_001133.9	184892	185596	I	plus	DUP240 family protein	KTD1	851280	protein-coding	NM_001178222.1	NP_009415.1	234	YAR028W
NC_001133.9	186321	186545	I	plus	DUP240 family protein	DFP2	851281	protein-coding	NM_001178223.1	NP_009416.1	74	YAR029W
NC_001133.9	186836	187732	I	plus	pheromone-regulated DUP240 family protein PRM9	PRM9	851282	protein-coding	NM_001178224.1	NP_009418.1	298	YAR031W
NC_001133.9	188107	188811	I	plus	DUP240 family protein MST28	MST28	851284	protein-coding	NM_001178225.1	NP_009419.1	234	YAR033W
NC_001133.9	190193	192256	I	plus	carnitine O-acetyltransferase YAT1	YAT1	851285	protein-coding	NM_001178226.1	NP_009420.1	687	YAR035W
NC_001133.9	192337	192417	I	minus	uncharacterized protein		1466430	protein-coding	NM_001184583.1	NP_878042.1	26	YAR035C-A
NC_001133.9	192619	196185	I	plus	oxysterol-binding protein related protein SWH1	SWH1	851286	protein-coding	NM_001178227.1	NP_009421.3	1188	YAR042W
NC_001133.9	203403	208016	I	plus	flocculin FLO1	FLO1	851289	protein-coding	NM_001178230.1	NP_009424.1	1537	YAR050W
NC_001133.9	218140	219145	I	plus	uncharacterized gene		851292	pseudogene				YAR061W
NC_001133.9	220198	220497	I	plus	uncharacterized protein		851294	protein-coding	NM_001178235.1	NP_009429.1	99	YAR064W
NC_001133.9	221049	221660	I	plus	uncharacterized protein		851295	protein-coding	NM_001180045.1	NP_009430.1	203	YAR066W
NC_001133.9	222406	222891	I	plus	uncharacterized protein		851296	protein-coding	NM_001178236.1	NP_009431.1	161	YAR068W
NC_001133.9	225460	226863	I	plus	acid phosphatase PHO11	PHO11	851299	protein-coding	NM_001178239.1	NP_009434.1	467	YAR071W
NC_001134.8	280	2658	II	minus	uncharacterized protein		852159	protein-coding	NM_001180054.1	NP_009437.1	792	YBL113C
NC_001134.8	2582	2899	II	minus	uncharacterized protein		852160	protein-coding	NM_001180053.1	NP_009438.1	105	YBL112C
NC_001134.8	2907	5009	II	minus	uncharacterized protein		852161	protein-coding	NM_001180052.1	NP_009439.1	667	YBL111C
NC_001134.8	7605	7733	II	minus	seripauperin PAU9	PAU9	852163	protein-coding	NM_001184458.1	NP_076873.1	42	YBL108C-A
NC_001134.8	9583	9666	II	plus	tRNA-Leu		852166	tRNA				YNCB0001W
NC_001134.8	9961	10551	II	minus	Mix23p	MIX23	852167	protein-coding	NM_001178347.1	NP_009443.1	196	YBL107C
NC_001134.8	10847	13879	II	minus	putative Rab GTPase-binding protein SRO77	SRO77	852168	protein-coding	NM_001178346.2	NP_009444.2	1010	YBL106C
NC_001134.8	14241	17696	II	minus	protein kinase C	PKC1	852169	protein-coding	NM_001178345.2	NP_009445.2	1151	YBL105C
NC_001134.8	18177	21293	II	minus	Sea4p	SEA4	852170	protein-coding	NM_001178344.1	NP_009446.2	1038	YBL104C
NC_001134.8	22076	23536	II	minus	Rtg3p	RTG3	852171	protein-coding	NM_001178343.1	NP_009447.1	486	YBL103C
NC_001134.8	24098	24745	II	plus	Sft2p	SFT2	852172	protein-coding	NM_001178342.1	NP_009448.1	215	YBL102W
NC_001134.8	24946	28299	II	minus	Ecm21p	ECM21	852173	protein-coding	NM_001178341.1	NP_009449.1	1117	YBL101C
NC_001134.8	28427	28546	II	plus	uncharacterized protein		1466439	protein-coding	NM_001184585.1	NP_878043.1	39	YBL100W-C
NC_001134.8	29935	35248	II	plus	gag-pol fusion protein		852175	protein-coding	NM_001180050.2	NP_009450.1	1770	YBL100W-B
NC_001134.8	29935	31251	II	plus	gag protein		852174	protein-coding	NM_001180049.1	NP_009451.1	438	YBL100W-A
NC_001134.8	36398	36488	II	plus	tRNA-Phe		852176	tRNA				YNCB0002W
NC_001134.8	37053	38690	II	plus	F1F0 ATP synthase subunit alpha	ATP1	852177	protein-coding	NM_001178339.2	NP_009453.2	545	YBL099W
NC_001134.8	39145	40527	II	plus	kynurenine 3-monooxygenase	BNA4	852179	protein-coding	NM_001178338.1	NP_009454.1	460	YBL098W
NC_001134.8	40831	43095	II	plus	condensin subunit BRN1	BRN1	852180	protein-coding	NM_001178337.2	NP_009455.3	754	YBL097W
NC_001134.8	43277	44089	II	plus	Mrx3p	MRX3	852181	protein-coding	NM_001178335.1	NP_009457.1	270	YBL095W
NC_001134.8	44256	44918	II	minus	Rox3p	ROX3	852184	protein-coding	NM_001178333.1	NP_009459.1	220	YBL093C
NC_001134.8	45978	46370	II	plus	ribosomal 60S subunit protein L32	RPL32	852185	protein-coding	NM_001178332.1	NP_009460.1	130	YBL092W
NC_001134.8	46565	47180	II	minus	phospholipid metabolism-regulating protein SCS22	SCS22	852186	protein-coding	NM_001184321.1	NP_009461.2	175	YBL091C-A
NC_001134.8	47363	48628	II	minus	methionine aminopeptidase	MAP2	852187	protein-coding	NM_001178331.2	NP_009462.2	421	YBL091C
NC_001134.8	48825	49358	II	plus	mitochondrial 37S ribosomal protein MRP21	MRP21	852188	protein-coding	NM_001178330.1	NP_009463.1	177	YBL090W
NC_001134.8	49574	50953	II	plus	amino acid transporter	AVT5	852189	protein-coding	NM_001178329.1	NP_009464.2	459	YBL089W
NC_001134.8	51019	59382	II	minus	DNA-binding protein kinase TEL1	TEL1	852190	protein-coding	NM_001178328.2	NP_009465.2	2787	YBL088C
NC_001134.8	59822	60739	II	minus	ribosomal 60S subunit protein L23A	RPL23A	852191	protein-coding	NM_001178327.1	NP_009466.1	137	YBL087C
NC_001134.8	61202	62602	II	minus	uncharacterized protein		852192	protein-coding	NM_001178326.1	NP_009467.1	466	YBL086C
NC_001134.8	63876	66818	II	plus	Boi1p	BOI1	852193	protein-coding	NM_001178325.1	NP_009468.1	980	YBL085W
NC_001134.8	67169	69445	II	minus	anaphase promoting complex subunit CDC27	CDC27	852194	protein-coding	NM_001178324.2	NP_009469.2	758	YBL084C
NC_001134.8	69751	71127	II	minus	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase	ALG3	852196	protein-coding	NM_001178322.1	NP_009471.1	458	YBL082C
NC_001134.8	71866	72972	II	plus	uncharacterized protein		852197	protein-coding	NM_001178321.1	NP_009472.1	368	YBL081W
NC_001134.8	73070	74695	II	minus	glutamyl-tRNA(Gln) amidotransferase subunit PET112	PET112	852198	protein-coding	NM_001178320.2	NP_009473.2	541	YBL080C
NC_001134.8	75259	79767	II	plus	Nup170p	NUP170	852199	protein-coding	NM_001178319.1	NP_009474.1	1502	YBL079W
NC_001134.8	80378	80731	II	minus	ubiquitin-like protein ATG8	ATG8	852200	protein-coding	NM_001178318.1	NP_009475.1	117	YBL078C
NC_001134.8	81043	84261	II	minus	isoleucine--tRNA ligase ILS1	ILS1	852202	protein-coding	NM_001178316.1	NP_009477.1	1072	YBL076C
NC_001134.8	84499	86448	II	minus	Hsp70 family ATPase SSA3	SSA3	852203	protein-coding	NM_001178315.1	NP_009478.1	649	YBL075C
NC_001134.8	86722	87789	II	minus	U5 snRNP complex subunit AAR2	AAR2	852205	protein-coding	NM_001178314.1	NP_009479.1	355	YBL074C
NC_001134.8	88190	88277	II	plus	SNR56	SNR56	9164868	snoRNA	NR_132151.1			YNCB0003W
NC_001134.8	88523	89125	II	minus	ribosomal 40S subunit protein S8A	RPS8A	852206	protein-coding	NM_001178312.1	NP_009481.1	200	YBL072C
NC_001134.8	89458	89556	II	minus	uncharacterized protein		1466440	protein-coding	NM_001184584.1	NP_878044.1	32	YBL071C-B
NC_001134.8	89978	90226	II	plus	Kti11p	KTI11	852207	protein-coding	NM_001184454.1	NP_660100.1	82	YBL071W-A
NC_001134.8	90223	90531	II	minus	uncharacterized protein		852208	protein-coding	NM_001346794.1	NP_001333723.1	102	YBL071C
NC_001134.8	90741	92030	II	plus	Ast1p	AST1	852209	protein-coding	NM_001178309.1	NP_009484.2	429	YBL069W
NC_001134.8	92414	93394	II	plus	ribose phosphate diphosphokinase subunit PRS4	PRS4	852211	protein-coding	NM_001178308.2	NP_009485.3	326	YBL068W
NC_001134.8	93639	95882	II	minus	ubiquitin-specific protease UBP13	UBP13	852212	protein-coding	NM_001178307.2	NP_009486.3	747	YBL067C
NC_001134.8	96669	100115	II	minus	Sef1p	SEF1	852214	protein-coding	NM_001178306.1	NP_009487.2	1148	YBL066C
NC_001134.8	100371	101156	II	minus	thioredoxin peroxidase PRX1	PRX1	852215	protein-coding	NM_001178304.1	NP_009489.1	261	YBL064C
NC_001134.8	101886	105221	II	plus	Kip1p	KIP1	852216	protein-coding	NM_001178303.1	NP_009490.1	1111	YBL063W
NC_001134.8	105316	107406	II	minus	Skt5p	SKT5	852218	protein-coding	NM_001178301.1	NP_009492.1	696	YBL061C
NC_001134.8	107932	109995	II	plus	Arf family guanine nucleotide exchange factor YEL1	YEL1	852219	protein-coding	NM_001178300.1	NP_009493.1	687	YBL060W
NC_001134.8	110125	110539	II	minus	Cmc2p	CMC2	852220	protein-coding	NM_001184440.1	NP_031358.1	109	YBL059C-A
NC_001134.8	110594	111244	II	plus	Iai11p	IAI11	852221	protein-coding	NM_001178299.1	NP_009494.1	193	YBL059W
NC_001134.8	111437	112708	II	plus	protein phosphatase regulator SHP1	SHP1	852222	protein-coding	NM_001178298.1	NP_009495.1	423	YBL058W
NC_001134.8	112801	113427	II	minus	aminoacyl-tRNA hydrolase	PTH2	852223	protein-coding	NM_001178297.2	NP_009496.2	208	YBL057C
NC_001134.8	113762	115168	II	plus	type 2C protein phosphatase PTC3	PTC3	852224	protein-coding	NM_001178296.2	NP_009497.2	468	YBL056W
NC_001134.8	115573	116829	II	minus	3'-5'-exodeoxyribonuclease		852225	protein-coding	NM_001178295.1	NP_009498.1	418	YBL055C
NC_001134.8	117589	119166	II	plus	Tod6p	TOD6	852226	protein-coding	NM_001178294.1	NP_009499.1	525	YBL054W
NC_001134.8	119379	121874	II	minus	histone acetyltransferase	SAS3	852228	protein-coding	NM_001178292.1	NP_009501.1	831	YBL052C
NC_001134.8	122753	124759	II	minus	Pin4p	PIN4	852229	protein-coding	NM_001178291.1	NP_009502.1	668	YBL051C
NC_001134.8	125125	126119	II	plus	Sec17p	SEC17	852230	protein-coding	NM_001178290.1	NP_009503.1	292	YBL050W
NC_001134.8	126828	127244	II	plus	Moh1p	MOH1	852231	protein-coding	NM_001178289.1	NP_009504.1	138	YBL049W
NC_001134.8	127299	127610	II	plus	Rrt1p	RRT1	852232	protein-coding	NM_001348869.1	NP_001335744.1	103	YBL048W
NC_001134.8	127895	132040	II	minus	Ede1p	EDE1	852233	protein-coding	NM_001178287.1	NP_009506.1	1381	YBL047C
NC_001134.8	132424	133749	II	plus	Psy4p	PSY4	852234	protein-coding	NM_001178286.1	NP_009507.1	441	YBL046W
NC_001134.8	134143	135516	II	minus	ubiquinol--cytochrome-c reductase subunit COR1	COR1	852235	protein-coding	NM_001178285.1	NP_009508.1	457	YBL045C
NC_001134.8	135998	136366	II	plus	uncharacterized protein		852236	protein-coding	NM_001178284.1	NP_009509.1	122	YBL044W
NC_001134.8	136688	137461	II	plus	Ecm13p	ECM13	852237	protein-coding	NM_001178283.1	NP_009510.1	257	YBL043W
NC_001134.8	138341	140260	II	minus	uridine permease	FUI1	852238	protein-coding	NM_001178282.1	NP_009511.1	639	YBL042C
NC_001134.8	141247	141972	II	plus	proteasome core particle subunit beta 6	PRE7	852239	protein-coding	NM_001178281.1	NP_009512.1	241	YBL041W
NC_001134.8	142112	142868	II	minus	Erd2p	ERD2	852240	protein-coding	NM_001178280.1	NP_009513.1	219	YBL040C
NC_001134.8	143393	143572	II	plus	Min6p	MIN6	1466441	protein-coding	NM_001184527.1	NP_878045.1	59	YBL039W-B
NC_001134.8	143989	145728	II	minus	CTP synthase URA7	URA7	852241	protein-coding	NM_001178279.1	NP_009514.1	579	YBL039C
NC_001134.8	146187	146885	II	plus	mitochondrial 54S ribosomal protein YmL47	MRPL16	852242	protein-coding	NM_001178278.1	NP_009515.1	232	YBL038W
NC_001134.8	147209	150286	II	plus	Apl3p	APL3	852243	protein-coding	NM_001178277.1	NP_009516.1	1025	YBL037W
NC_001134.8	150447	151220	II	minus	uncharacterized protein		852244	protein-coding	NM_001178276.1	NP_009517.1	257	YBL036C
NC_001134.8	151493	153610	II	minus	DNA-directed DNA polymerase alpha subunit POL12	POL12	852245	protein-coding	NM_001178275.1	NP_009518.1	705	YBL035C
NC_001134.8	153848	158389	II	minus	Stu1p	STU1	852246	protein-coding	NM_001178274.1	NP_009519.1	1513	YBL034C
NC_001134.8	158656	159693	II	minus	GTP cyclohydrolase II	RIB1	852247	protein-coding	NM_001178273.1	NP_009520.1	345	YBL033C
NC_001134.8	160184	161329	II	plus	Hek2p	HEK2	852248	protein-coding	NM_001178272.1	NP_009521.1	381	YBL032W
NC_001134.8	161699	162715	II	plus	She1p	SHE1	852249	protein-coding	NM_001178271.1	NP_009522.1	338	YBL031W
NC_001134.8	163041	163997	II	minus	ADP/ATP carrier protein PET9	PET9	852250	protein-coding	NM_001178270.1	NP_009523.1	318	YBL030C
NC_001134.8	164488	164772	II	minus	uncharacterized protein		852251	protein-coding	NM_001184457.1	NP_076874.1	94	YBL029C-A
NC_001134.8	166134	167264	II	plus	uncharacterized protein		852252	protein-coding	NM_001178269.1	NP_009524.1	376	YBL029W
NC_001134.8	167518	167838	II	minus	uncharacterized protein		852253	protein-coding	NM_001178268.1	NP_009525.1	106	YBL028C
NC_001134.8	168423	169376	II	plus	ribosomal 60S subunit protein L19B	RPL19B	852254	protein-coding	NM_001178267.1	NP_009526.1	189	YBL027W
NC_001134.8	170623	171038	II	plus	Sm-like protein LSM2	LSM2	852255	protein-coding	NM_001178266.1	NP_009527.1	95	YBL026W
NC_001134.8	171481	171918	II	plus	Rrn10p	RRN10	852256	protein-coding	NM_001178265.1	NP_009528.1	145	YBL025W
NC_001134.8	172534	174588	II	plus	tRNA (cytosine-C5-)-methyltransferase	NCL1	852257	protein-coding	NM_001178264.1	NP_009529.1	684	YBL024W
NC_001134.8	174920	177526	II	minus	MCM DNA helicase complex subunit MCM2	MCM2	852258	protein-coding	NM_001178263.1	NP_009530.1	868	YBL023C
NC_001134.8	177874	181275	II	minus	ATP-dependent Lon protease PIM1	PIM1	852259	protein-coding	NM_001178262.1	NP_009531.1	1133	YBL022C
NC_001134.8	181660	182094	II	minus	Hap3p	HAP3	852260	protein-coding	NM_001178261.1	NP_009532.1	144	YBL021C
NC_001134.8	182401	184125	II	plus	glycolipid translocation protein	RFT1	852261	protein-coding	NM_001178260.1	NP_009533.1	574	YBL020W
NC_001134.8	184353	185915	II	plus	DNA-(apurinic or apyrimidinic site) lyase APN2	APN2	852262	protein-coding	NM_001178259.1	NP_009534.1	520	YBL019W
NC_001134.8	185998	186474	II	minus	ribonuclease P	POP8	852263	protein-coding	NM_001178258.1	NP_009535.1	133	YBL018C
NC_001134.8	186844	191583	II	minus	type I sorting receptor	PEP1	852264	protein-coding	NM_001178257.1	NP_009536.1	1579	YBL017C
NC_001134.8	192451	193512	II	plus	mitogen-activated serine/threonine-protein kinase FUS3	FUS3	852265	protein-coding	NM_001178256.1	NP_009537.1	353	YBL016W
NC_001134.8	194122	195702	II	plus	acetyl-CoA hydrolase	ACH1	852266	protein-coding	NM_001178255.1	NP_009538.1	526	YBL015W
